,precision,recall,f1-score,support
0-40,0.8127049180327869,0.8547413793103448,0.8331932773109244,2320.0
ALL,0.8684107770402186,0.8295412159641925,0.8485310950019077,2681.0
accuracy,0.8412317536492702,0.8412317536492702,0.8412317536492702,0.8412317536492702
macro avg,0.8405578475365028,0.8421412976372686,0.8408621861564161,5001.0
weighted avg,0.8425684269307923,0.8412317536492702,0.8414157706581602,5001.0
