,precision,recall,f1-score,support
40-65,0.9340455178820251,0.9658981748318924,0.9497048406139316,2082.0
65-85,0.6844444444444444,0.5202702702702703,0.5911708253358925,296.0
accuracy,0.9104289318755256,0.9104289318755256,0.9104289318755256,0.9104289318755256
macro avg,0.8092449811632347,0.7430842225510814,0.770437832974912,2378.0
weighted avg,0.9029765869579192,0.9104289318755256,0.9050765527576239,2378.0
