,precision,recall,f1-score,support
40-65,0.9894684052156469,0.93729216152019,0.9626738228836301,2105.0
85-100,0.6658227848101266,0.926056338028169,0.7746686303387335,284.0
accuracy,0.9359564671410632,0.9359564671410632,0.9359564671410632,0.9359564671410632
macro avg,0.8276455950128867,0.9316742497741795,0.8686712266111818,2389.0
weighted avg,0.9509939991063259,0.9359564671410632,0.9403241055614239,2389.0
