,precision,recall,f1-score,support
65-85,0.8509803921568627,0.7209302325581395,0.7805755395683454,301.0
85-100,0.7529411764705882,0.8707482993197279,0.807570977917981,294.0
accuracy,0.7949579831932773,0.7949579831932773,0.7949579831932773,0.7949579831932773
macro avg,0.8019607843137255,0.7958392659389337,0.7940732587431631,595.0
weighted avg,0.8025374855824683,0.7949579831932773,0.7939144620469889,595.0
