,precision,recall,f1-score,support
40-65,0.7495446265938069,0.7856801909307876,0.7671871358657656,2095.0
ALL,0.8399286987522282,0.8107364074328974,0.8250744177902294,2906.0
accuracy,0.8002399520095981,0.8002399520095981,0.8002399520095981,0.8002399520095981
macro avg,0.7947366626730176,0.7982082991818424,0.7961307768279975,5001.0
weighted avg,0.8020653451885624,0.8002399520095981,0.8008244966481075,5001.0
