,precision,recall,f1-score,support
65-85,0.8582995951417004,0.7361111111111112,0.7925233644859813,288.0
85-100,0.7816091954022989,0.8859934853420195,0.8305343511450382,307.0
accuracy,0.8134453781512605,0.8134453781512605,0.8134453781512605,0.8134453781512605
macro avg,0.8199543952719996,0.8110522982265653,0.8115288578155098,595.0
weighted avg,0.8187299267047319,0.8134453781512605,0.8121357559218308,595.0
