,precision,recall,f1-score,support
0-40,0.21066666666666667,0.0341843357853743,0.058823529411764705,2311.0
85-100,0.0071174377224199285,0.05128205128205128,0.0125,312.0
accuracy,0.036218070911170415,0.036218070911170415,0.036218070911170415,0.036218070911170415
macro avg,0.1088920521945433,0.042733193533712785,0.03566176470588235,2623.0
weighted avg,0.18645493985362627,0.036218070911170415,0.05331344890224485,2623.0
