,precision,recall,f1-score,support
40-65,0.7623914154317833,0.7225181598062954,0.7419194430631526,2065.0
ALL,0.811760840998686,0.8416212534059946,0.8264214046822742,2936.0
accuracy,0.7924415116976604,0.7924415116976604,0.7924415116976604,0.7924415116976604
macro avg,0.7870761282152346,0.782069706606145,0.7841704238727134,5001.0
weighted avg,0.7913753453386873,0.7924415116976604,0.7915290729999135,5001.0
