,precision,recall,f1-score,support
65-85,0.6507936507936508,0.27986348122866894,0.3914081145584726,293.0
ALL,0.9567179487179487,0.9906542056074766,0.9733903787957842,4708.0
accuracy,0.9490101979604079,0.9490101979604079,0.9490101979604079,0.9490101979604079
macro avg,0.8037557997557998,0.6352588434180728,0.6823992466771284,5001.0
weighted avg,0.9387943695754133,0.9490101979604079,0.9392930375797208,5001.0
