,precision,recall,f1-score,support
85-100,0.6102783725910065,0.9047619047619048,0.7289002557544757,315.0
ALL,0.9933833259814733,0.9611609048228766,0.9770065075921909,4686.0
accuracy,0.9576084783043392,0.9576084783043392,0.9576084783043392,0.9576084783043392
macro avg,0.8018308492862398,0.9329614047923906,0.8529533816733332,5001.0
weighted avg,0.9692525400750552,0.9576084783043392,0.9613789392400852,5001.0
