epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7488322257995605,0.7985557317733765,0.0010000000474974513,0.5490486025810242,0.7519010305404663,0.5971341133117676,0.7464507222175598,0.8209947347640991,0.5437806844711304,0.666252076625824,0.7763285040855408
1,0.7716734409332275,0.8353329300880432,0.0010000000474974513,0.4995144307613373,0.7698663473129272,0.6485158801078796,0.7362527251243591,0.8368577361106873,0.5291970372200012,0.8011226654052734,0.48260870575904846
2,0.7748875021934509,0.8424450755119324,0.0010000000474974513,0.4877220094203949,0.7645543217658997,0.6680654883384705,0.7774444818496704,0.8362455368041992,0.49202775955200195,0.7642186880111694,0.668599009513855
3,0.7753589153289795,0.8480046391487122,0.0010000000474974513,0.4795093536376953,0.768310010433197,0.6635619401931763,0.7556488513946533,0.8425596356391907,0.5245758891105652,0.6705551147460938,0.8053140044212341
4,0.7794300317764282,0.8508822917938232,0.0010000000474974513,0.47527870535850525,0.770825982093811,0.6733879446983337,0.7360528111457825,0.8444250822067261,0.5454807877540588,0.6386834383010864,0.8342995047569275
5,0.7802442908287048,0.8534681797027588,0.0010000000474974513,0.4715627133846283,0.7714619636535645,0.6751279234886169,0.7440512180328369,0.8522813320159912,0.5124179124832153,0.8526785969734192,0.4613526463508606
6,0.7815299034118652,0.855080246925354,0.0010000000474974513,0.46895602345466614,0.7663018703460693,0.6880245804786682,0.7638472318649292,0.8541220426559448,0.5018434524536133,0.6836017966270447,0.7995169162750244
7,0.783929705619812,0.8567996025085449,0.0010000000474974513,0.4656127691268921,0.7706043720245361,0.6890481114387512,0.7468506097793579,0.8481566905975342,0.5086148977279663,0.8018018007278442,0.5159420371055603
8,0.7832869291305542,0.8592643141746521,0.0010000000474974513,0.4626215398311615,0.770457923412323,0.6871033906936646,0.7624475359916687,0.8539851903915405,0.4982941746711731,0.8242647051811218,0.5415458679199219
9,0.7853867411613464,0.859117865562439,0.0010000000474974513,0.46306928992271423,0.7691003680229187,0.6965199708938599,0.7842431664466858,0.8568078279495239,0.47025156021118164,0.7506322860717773,0.7169082164764404
10,0.7850010991096497,0.8608728647232056,0.0010000000474974513,0.46056556701660156,0.7674732804298401,0.697952926158905,0.7304539084434509,0.8458613157272339,0.5427681803703308,0.632137656211853,0.8342995047569275
11,0.7849582433700562,0.8607048988342285,0.0010000000474974513,0.4608009457588196,0.7702456712722778,0.693142294883728,0.7810437679290771,0.862713634967804,0.46324968338012695,0.7291960716247559,0.7492753863334656
12,0.7880008816719055,0.8611733317375183,0.0010000000474974513,0.45922815799713135,0.7736298441886902,0.6978505849838257,0.783043384552002,0.8574503660202026,0.4665968120098114,0.7654986381530762,0.6859903335571289
13,0.7874866127967834,0.86191725730896,0.0010000000474974513,0.4585077166557312,0.770007848739624,0.7021494507789612,0.7438512444496155,0.8520503044128418,0.5104438662528992,0.8051044344902039,0.5028985738754272
14,0.7870151996612549,0.863145112991333,0.0010000000474974513,0.45675501227378845,0.7706970572471619,0.6993858814239502,0.7860428094863892,0.861211895942688,0.4630676507949829,0.7349624037742615,0.7555555701255798
15,0.787700891494751,0.8629664182662964,0.0010000000474974513,0.45640018582344055,0.769713282585144,0.7033776640892029,0.780643880367279,0.8524780869483948,0.48621779680252075,0.7228584289550781,0.7623188495635986
16,0.7836297154426575,0.8621933460235596,0.0010000000474974513,0.4577634036540985,0.7657322883605957,0.696212887763977,0.7716456651687622,0.8563774228096008,0.4929293394088745,0.7012141942977905,0.7811594009399414
