,precision,recall,f1-score,support
0-40,0.8244306418219461,0.8523116438356164,0.8381393390865081,2336.0
40-65,0.7702960840496658,0.7845330739299611,0.7773493975903615,2056.0
65-85,0.5887850467289719,0.23595505617977527,0.33689839572192515,267.0
85-100,0.7324675324675325,0.8245614035087719,0.7757909215955984,342.0
accuracy,0.7896420715856829,0.7896420715856829,0.7896420715856829,0.7896420715856829
macro avg,0.728994826267029,0.6743402943635312,0.6820445134985983,5001.0
weighted avg,0.7833049853394742,0.7896420715856829,0.782122820315,5001.0
