,precision,recall,f1-score,support
0-40,0.8300764655904843,0.836472602739726,0.8332622601279318,2336.0
40-65,0.7985074626865671,0.6765564202334631,0.732490784623486,2056.0
65-85,0.314878892733564,0.6816479400749064,0.4307692307692308,267.0
85-100,0.7828746177370031,0.7485380116959064,0.7653213751868461,342.0
accuracy,0.7564487102579485,0.7564487102579485,0.7564487102579485,0.7564487102579485
macro avg,0.6815843596869047,0.7358037436860004,0.6904609126768737,5001.0
weighted avg,0.7863638773303079,0.7564487102579485,0.7656982579032237,5001.0
