,precision,recall,f1-score,support
0-40,0.8194805194805195,0.8103595890410958,0.814894532931554,2336.0
40-65,0.7406221408966148,0.7874513618677043,0.7633191890617633,2056.0
65-85,0.5469613259668509,0.3707865168539326,0.4419642857142857,267.0
85-100,0.8117283950617284,0.7690058479532164,0.7897897897897898,342.0
accuracy,0.7746450709858028,0.7746450709858028,0.7746450709858028,0.7746450709858028
macro avg,0.7296980953514285,0.6844008289289872,0.7024919493743482,5001.0
weighted avg,0.7719806839300528,0.7746450709858028,0.7720636780709693,5001.0
