,precision,recall,f1-score,support
0-40,0.8051220488195278,0.8613013698630136,0.8322647362978284,2336.0
40-65,0.8123217341699943,0.6926070038910506,0.7477028091362562,2056.0
65-85,0.4660493827160494,0.5655430711610487,0.5109983079526227,267.0
85-100,0.7011764705882353,0.8713450292397661,0.7770534550195567,342.0
accuracy,0.7768446310737852,0.7768446310737852,0.7768446310737852,0.7768446310737852
macro avg,0.6961674090734516,0.7476991185387197,0.717004827101566,5001.0
weighted avg,0.7828706517940985,0.7768446310737852,0.7765719314968823,5001.0
